178.512999773
         10135199 function calls (10083810 primitive calls) in 123.086 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.044    0.044    0.052    0.052 :0(load)
       92    0.033    0.000    0.033    0.000 :0(load_char)
       32    0.012    0.000    0.012    0.000 :0(load_module)
       13    0.000    0.000    0.000    0.000 :0(locals)
        1    0.000    0.000    0.000    0.000 :0(localtime)
   699720    3.276    0.000    3.276    0.000 :0(log)
       10    0.000    0.000    0.000    0.000 :0(log10)
     4392    0.015    0.000    0.015    0.000 :0(lower)
     9013    0.027    0.000    0.027    0.000 :0(lstrip)
   232076    2.578    0.000    6.263    0.000 :0(map)
     3387    0.024    0.000    0.024    0.000 :0(match)
    21218    0.139    0.000    0.139    0.000 :0(max)
        1    0.000    0.000    0.000    0.000 :0(mbcs_decode)
    11060    0.045    0.000    0.045    0.000 :0(min)
      394    0.003    0.000    0.003    0.000 :0(mro)
   260895    1.411    0.000    1.411    0.000 :0(nonzero)
       31    0.007    0.000    0.007    0.000 :0(open)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha1)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha512)
     6065    0.056    0.000    0.056    0.000 :0(ord)
     1773    0.006    0.000    0.006    0.000 :0(pop)
    77237    1.567    0.000    1.567    0.000 :0(prod)
        5    0.000    0.000    0.000    0.000 :0(putenv)
        1    0.000    0.000    0.000    0.000 :0(quit)
       24    0.000    0.000    0.000    0.000 :0(random)
        1    0.000    0.000    0.000    0.000 :0(random_integers)
      308    0.004    0.000    0.004    0.000 :0(random_sample)
     1400    0.011    0.000    0.011    0.000 :0(range)
   521951    2.358    0.000    2.358    0.000 :0(ravel)
        2    0.000    0.000    0.000    0.000 :0(register_dialect)
        6    0.000    0.000    0.000    0.000 :0(release)
      118    0.000    0.000    0.000    0.000 :0(remove)
    77237    0.733    0.000    0.733    0.000 :0(repeat)
     2863    0.012    0.000    0.012    0.000 :0(replace)
      615    0.015    0.000    0.015    0.000 :0(repr)
    77756    0.468    0.000    0.468    0.000 :0(reshape)
       12    0.000    0.000    0.000    0.000 :0(reverse)
        6    0.000    0.000    0.000    0.000 :0(rfind)
      236    0.003    0.000    0.003    0.000 :0(round)
      778    0.010    0.000    0.010    0.000 :0(search)
        2    0.000    0.000    0.000    0.000 :0(searchsorted)
        2    0.000    0.000    0.000    0.000 :0(seed)
        1    0.000    0.000    0.000    0.000 :0(set_conversion_mode)
      110    0.001    0.000    0.001    0.000 :0(set_size)
        2    0.000    0.000    0.000    0.000 :0(set_string_function)
       18    0.003    0.000    0.003    0.000 :0(set_text)
        1    0.000    0.000    0.000    0.000 :0(set_typeDict)
       67    0.000    0.000    0.000    0.000 :0(setattr)
     1086    0.010    0.000    0.010    0.000 :0(setdefault)
        5    0.000    0.000    0.000    0.000 :0(seterrobj)
        1    0.001    0.001    0.001    0.001 :0(setprofile)
        3    0.000    0.000    0.000    0.000 :0(setter)
       50    0.000    0.000    0.000    0.000 :0(sizeof)
       23    0.000    0.000    0.000    0.000 :0(sort)
      495    0.006    0.000    0.006    0.000 :0(sorted)
     1110    0.007    0.000    0.007    0.000 :0(split)
     3724    0.028    0.000    0.028    0.000 :0(splitlines)
    48059    0.276    0.000    0.276    0.000 :0(sqrt)
      162    0.001    0.000    0.001    0.000 :0(start)
   214747    0.741    0.000    0.741    0.000 :0(startswith)
     2244    0.153    0.000    0.153    0.000 :0(stat)
      762    0.004    0.000    0.004    0.000 :0(strip)
      522    0.017    0.000    0.030    0.000 :0(sub)
   260897    1.606    0.000    1.606    0.000 :0(take)
        2    0.000    0.000    0.000    0.000 :0(time)
        2    0.000    0.000    0.000    0.000 :0(title)
        1    0.000    0.000    0.000    0.000 :0(tolist)
        2    0.000    0.000    0.000    0.000 :0(toordinal)
        1    0.000    0.000    0.000    0.000 :0(tostring)
      100    0.000    0.000    0.000    0.000 :0(translate)
      105    0.000    0.000    0.000    0.000 :0(unichr)
     6778    0.028    0.000    0.028    0.000 :0(update)
      100    0.005    0.000    0.005    0.000 :0(update_path_extents)
       58    0.000    0.000    0.000    0.000 :0(upper)
        2    0.000    0.000    0.000    0.000 :0(urandom)
        1    0.000    0.000    0.000    0.000 :0(utcfromtimestamp)
       13    0.000    0.000    0.000    0.000 :0(values)
        1    0.000    0.000    0.000    0.000 :0(view)
        4    0.000    0.000    0.000    0.000 :0(write)
        1    0.078    0.078    0.078    0.078 :0(write_png)
      126    0.001    0.000    0.001    0.000 :0(zeros)
      218    0.002    0.000    0.002    0.000 :0(zip)
      301    0.004    0.000    0.010    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        9    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:6(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:6(Polynomial)
      510    0.004    0.000    0.006    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 Dialog.py:12(Dialog)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 FileDialog.py:21(FileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:220(LoadFileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:234(SaveFileDialog)
        1    0.003    0.003    0.003    0.003 FileDialog.py:9(<module>)
        1    0.009    0.009    0.013    0.013 FixTk.py:1(<module>)
        1    0.000    0.000    0.002    0.002 FixTk.py:21(convert_path)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1018(quit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1021(_getints)
       21    0.001    0.000    0.003    0.000 Tkinter.py:1040(_options)
       12    0.000    0.000    0.000    0.000 Tkinter.py:1066(nametowidget)
       22    0.001    0.000    0.001    0.000 Tkinter.py:1083(_register)
       12    0.000    0.000    0.000    0.000 Tkinter.py:1105(_root)
       11    0.001    0.000    0.004    0.000 Tkinter.py:1114(_substitute)
      121    0.001    0.000    0.001    0.000 Tkinter.py:1120(getint_event)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1397(CallWrapper)
       22    0.000    0.000    0.000    0.000 Tkinter.py:1400(__init__)
       11    0.000    0.000    0.004    0.000 Tkinter.py:1405(__call__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1417(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1438(YView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1459(Wm)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1598(wm_minsize)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1618(wm_protocol)
        1    0.000    0.000    0.000    0.000 Tkinter.py:162(Variable)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1645(wm_title)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1654(wm_withdraw)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1661(Tk)
        1    0.000    0.000    0.097    0.097 Tkinter.py:1665(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:168(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1693(_loadtk)
        1    0.000    0.000    0.016    0.016 Tkinter.py:1724(destroy)
        1    0.000    0.000    0.001    0.001 Tkinter.py:1733(readprofile)
        6    0.000    0.000    0.000    0.000 Tkinter.py:1762(__getattr__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1784(Pack)
       10    0.000    0.000    0.001    0.000 Tkinter.py:1788(pack_configure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1829(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1879(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:192(__del__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1932(BaseWidget)
       10    0.000    0.000    0.000    0.000 Tkinter.py:1934(_setup)
        1    0.000    0.000    0.000    0.000 Tkinter.py:195(__str__)
       10    0.000    0.000    0.007    0.001 Tkinter.py:1959(__init__)
     10/2    0.000    0.000    0.014    0.007 Tkinter.py:1977(destroy)
        1    0.000    0.000    0.000    0.000 Tkinter.py:198(set)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1988(Widget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1995(Toplevel)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2023(Button)
        7    0.000    0.000    0.006    0.001 Tkinter.py:2025(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2102(Canvas)
        1    0.000    0.000    0.001    0.001 Tkinter.py:2104(__init__)
        1    0.000    0.000    0.006    0.006 Tkinter.py:2179(_create)
