0.6289521,1.248281,1.638496,1.916298,2.129504,2.301246,2.444313,2.566465,2.672747,2.766604,2.850494,2.926224,2.995161,3.05836,3.116655,3.170712,3.221076,3.268192,3.312433,3.647666,3.871606,4.170521,4.372227,4.52341
0.5999117,1.209786,1.598235,1.875707,2.088948,2.260822,2.404037,2.52633,2.632732,2.726691,2.810665,2.886463,2.955453,3.018695,3.077022,3.131103,3.181483,3.228609,3.272854,3.607961,3.831649,4.130021,4.331231,4.48198
0.5857155,1.19124,1.579749,1.858059,2.072245,2.245015,2.389043,2.512062,2.619115,2.713659,2.798159,2.874434,2.943859,3.007497,3.066189,3.120607,3.171298,3.218713,3.263228,3.600301,3.825208,4.125075,4.327208,4.478602
0.5773226,1.18033,1.569213,1.84843,2.063579,2.237255,2.382108,2.505872,2.613597,2.708749,2.793803,2.870583,2.94047,3.004536,3.063622,3.118406,3.169439,3.217173,3.261987,3.601296,3.827646,4.129353,4.332665,4.48491
0.5717854,1.173145,1.562427,1.842442,2.058433,2.232905,2.378487,2.502915,2.611243,2.706943,2.792499,2.869739,2.940051,3.004509,3.06396,3.119085,3.170435,3.218468,3.263562,3.604991,3.832733,4.136241,4.340726,4.493824
0.5678608,1.168056,1.5577,1.838389,2.055092,2.230242,2.376451,2.501451,2.610302,2.706482,2.792477,2.870123,2.94081,3.005616,3.065391,3.120818,3.172464,3.220752,3.266098,3.609448,3.838467,4.143645,4.349225,4.503125
0.5649349,1.164263,1.55422,1.835477,2.052781,2.228508,2.375251,2.500743,2.610046,2.706641,2.793019,2.871019,2.942034,3.007146,3.067207,3.122901,3.174787,3.223323,3.268893,3.61396,3.844133,4.150832,4.357416,4.512054
0.56267,1.161326,1.551554,1.833289,2.051105,2.227323,2.374526,2.500442,2.610136,2.707092,2.793803,2.872112,2.943416,3.008796,3.069108,3.125039,3.177147,3.225893,3.27166,3.618262,3.849473,4.157551,4.365051,4.520364
0.5608651,1.158985,1.549445,1.831589,2.049842,2.226484,2.374084,2.500369,2.610403,2.707674,2.794677,2.873258,2.944815,3.010432,3.070966,3.127106,3.179411,3.228343,3.274287,3.62226,3.854408,4.16298725,4.372072,4.51335807
0.5593931,1.157076,1.547737,1.830233,2.048863,2.225872,2.373818,2.500424,2.610757,2.708305,2.795566,2.874386,2.946167,3.011994,3.072726,3.129052,3.181532,3.23063,3.276732,3.625936,3.8583805,4.1684235,4.378495,4.527370035
0.5581697,1.155489,1.546325,1.829125,2.048085,2.225415,2.373664,2.500554,2.61115,2.708943,2.796432,2.875466,2.947446,3.01346,3.074368,3.13086,3.183497,3.232744,3.278987,3.629302,3.862353,4.17385975,4.384365,4.541382
0.557137,1.154148,1.545138,1.828206,2.047454,2.225068,2.373584,2.500725,2.611555,2.709566,2.797258,2.876482,2.948641,3.014823,3.075889,3.13253,3.185309,3.23469,3.28106,3.63238,3.8663255,4.179296,4.3895105,4.547231
0.5562535,1.153001,1.544127,1.82743,2.046934,2.224798,2.373553,2.500918,2.611956,2.710162,2.798038,2.877433,2.949752,3.016085,3.077294,3.134069,3.186976,3.236478,3.282963,3.635197,3.870298,4.183625,4.394656,4.552594
0.5554892,1.152009,1.543255,1.826767,2.046499,2.224587,2.373555,2.50112,2.612347,2.710728,2.798768,2.878317,2.950781,3.017251,3.078589,3.135487,3.188509,3.238121,3.284712,3.637674,3.8733385,4.187597,4.399177,4.557525
0.5548214,1.151142,1.542495,1.826194,2.04613,2.224419,2.373579,2.501325,2.612721,2.711261,2.799449,2.879139,2.951735,3.018329,3.079784,3.136793,3.189921,3.239634,3.28632,3.640151,3.876379,4.191252,4.40334,4.56207
0.554233,1.150377,1.541828,1.825694,2.045813,2.224284,2.373618,2.501527,2.613077,2.711761,2.800085,2.879902,2.952618,3.019325,3.080888,3.137998,3.191223,3.241028,3.287802,3.642251,3.878959,4.1944965,4.407184,4.56627
0.5537107,1.149699,1.541236,1.825254,2.04554,2.224175,2.373667,2.501725,2.613414,2.71223,2.800678,2.880611,2.953437,3.020248,3.081909,3.139113,3.192426,3.242315,3.28917,3.644351,3.881539,4.197741,4.410743,4.570162
0.5532438,1.149092,1.540709,1.824864,2.045301,2.224086,2.373722,2.501915,2.613733,2.71267,2.801231,2.881271,2.954198,3.021104,3.082855,3.140145,3.19354,3.243507,3.290436,3.641213698,3.877674372,4.200632,4.414046,4.573776
0.552824,1.148546,1.540235,1.824516,2.045091,2.224013,2.37378,2.502099,2.614034,2.713082,2.801747,2.881885,2.954905,3.0219,3.083734,3.141103,3.194574,3.244613,3.291611,3.647488349,3.885403686,4.203319,4.4207865,4.577142
0.5514973,1.146821,1.538745,1.823433,2.044456,2.223827,2.374026,2.502754,2.615077,2.71449,2.8035,2.883965,2.957293,3.02458,3.086693,3.144327,3.198049,3.248329,3.295558,3.653763,3.893133,4.212396,4.427527,4.588561
0.5501747,1.1451,1.537267,1.822378,2.04387,2.223711,2.374365,2.503527,2.616262,2.716064,2.805443,2.886257,2.959917,3.027519,3.089932,3.147852,3.201849,3.252391,3.29987,3.646771403,3.901009,4.201241112,4.423813037,4.57425581
0.5488561,1.143384,1.535803,1.821351,2.043333,2.223667,2.3748,2.504422,2.617594,2.717812,2.807585,2.888774,2.962791,3.030734,3.093472,3.151703,3.205997,3.256824,3.304577,3.660754702,3.910106,4.223551056,4.431241019,4.602866405
